CODGEO;LIBGEO;EPCI;LIBEPCI
01001;L'Abergement-Clémenciat;200069193;CC de la Dombes
01002;L'Abergement-de-Varey;240100883;CC de la Plaine de l'Ain
01004;Ambérieu-en-Bugey;240100883;CC de la Plaine de l'Ain
01005;Ambérieux-en-Dombes;200042497;CC Dombes Saône Vallée
01006;Ambléon;200040350;CC Bugey Sud
01007;Ambronay;240100883;CC de la Plaine de l'Ain
01008;Ambutrix;240100883;CC de la Plaine de l'Ain
01009;Andert-et-Condon;200040350;CC Bugey Sud
01010;Anglefort;200070852;CC Usses et Rhône
01011;Apremont;200042935;CA Haut - Bugey Agglomération
01012;Aranc;200042935;CA Haut - Bugey Agglomération
01013;Arandas;240100883;CC de la Plaine de l'Ain
01014;Arbent;200042935;CA Haut - Bugey Agglomération
01015;Arboys en Bugey;200040350;CC Bugey Sud
01016;Arbigny;200071371;CC Bresse et Saône
01017;Argis;240100883;CC de la Plaine de l'Ain
01019;Armix;200040350;CC Bugey Sud
01021;Ars-sur-Formans;200042497;CC Dombes Saône Vallée
01022;Artemare;200040350;CC Bugey Sud
01023;Asnières-sur-Saône;200071371;CC Bresse et Saône
01024;Attignat;200071751;CA du Bassin de Bourg-en-Bresse
01025;Bâgé-Dommartin;200071371;CC Bresse et Saône
01026;Bâgé-le-Châtel;200071371;CC Bresse et Saône
01027;Balan;240100610;CC de la Côtière à Montluel
01028;Baneins;200069193;CC de la Dombes
01029;Beaupont;200071751;CA du Bassin de Bourg-en-Bresse
01030;Beauregard;200042497;CC Dombes Saône Vallée
01031;Bellignat;200042935;CA Haut - Bugey Agglomération
01032;Béligneux;240100610;CC de la Côtière à Montluel
01033;Valserhône;240100891;CC du Pays Bellegardien (CCPB)
01034;Belley;200040350;CC Bugey Sud
01035;Belleydoux;200042935;CA Haut - Bugey Agglomération
01036;Valromey-sur-Séran;200040350;CC Bugey Sud
01037;Bénonces;240100883;CC de la Plaine de l'Ain
01038;Bény;200071751;CA du Bassin de Bourg-en-Bresse
01040;Béréziat;200071751;CA du Bassin de Bourg-en-Bresse
01041;Bettant;240100883;CC de la Plaine de l'Ain
01042;Bey;200070555;CC de la Veyle
01043;Beynost;240100800;CC de Miribel et du Plateau
01044;Billiat;240100891;CC du Pays Bellegardien (CCPB)
01045;Birieux;200069193;CC de la Dombes
01046;Biziat;200070555;CC de la Veyle
01047;Blyes;240100883;CC de la Plaine de l'Ain
01049;La Boisse;240100610;CC de la Côtière à Montluel
01050;Boissey;200071371;CC Bresse et Saône
01051;Bolozon;200042935;CA Haut - Bugey Agglomération
01052;Bouligneux;200069193;CC de la Dombes
01053;Bourg-en-Bresse;200071751;CA du Bassin de Bourg-en-Bresse
01054;Bourg-Saint-Christophe;240100883;CC de la Plaine de l'Ain
01056;Boyeux-Saint-Jérôme;200029999;CC Rives de l'Ain - Pays du Cerdon
01057;Boz;200071371;CC Bresse et Saône
01058;Brégnier-Cordon;200040350;CC Bugey Sud
01060;Brénod;200042935;CA Haut - Bugey Agglomération
01061;Brens;200040350;CC Bugey Sud
01062;Bressolles;240100610;CC de la Côtière à Montluel
01063;Brion;200042935;CA Haut - Bugey Agglomération
01064;Briord;240100883;CC de la Plaine de l'Ain
01065;Buellas;200071751;CA du Bassin de Bourg-en-Bresse
01066;La Burbanche;200040350;CC Bugey Sud
01067;Ceignes;200042935;CA Haut - Bugey Agglomération
01068;Cerdon;200029999;CC Rives de l'Ain - Pays du Cerdon
01069;Certines;200071751;CA du Bassin de Bourg-en-Bresse
01071;Cessy;240100750;CA du Pays de Gex
01072;Ceyzériat;200071751;CA du Bassin de Bourg-en-Bresse
01073;Ceyzérieu;200040350;CC Bugey Sud
01074;Chalamont;200069193;CC de la Dombes
01075;Chaleins;200070118;CC Val de Saône Centre
01076;Chaley;240100883;CC de la Plaine de l'Ain
01077;Challes-la-Montagne;200029999;CC Rives de l'Ain - Pays du Cerdon
01078;Challex;240100750;CA du Pays de Gex
01079;Champagne-en-Valromey;200040350;CC Bugey Sud
01080;Champdor-Corcelles;200042935;CA Haut - Bugey Agglomération
01081;Champfromier;240100891;CC du Pays Bellegardien (CCPB)
01082;Chanay;240100891;CC du Pays Bellegardien (CCPB)
01083;Chaneins;200069193;CC de la Dombes
01084;Chanoz-Châtenay;200070555;CC de la Veyle
01085;La Chapelle-du-Châtelard;200069193;CC de la Dombes
01087;Charix;200042935;CA Haut - Bugey Agglomération
01088;Charnoz-sur-Ain;240100883;CC de la Plaine de l'Ain
01089;Château-Gaillard;240100883;CC de la Plaine de l'Ain
01090;Châtenay;200069193;CC de la Dombes
01092;Châtillon-la-Palud;200069193;CC de la Dombes
01093;Châtillon-sur-Chalaronne;200069193;CC de la Dombes
01094;Chavannes-sur-Reyssouze;200071371;CC Bresse et Saône
01095;Nivigne et Suran;200071751;CA du Bassin de Bourg-en-Bresse
01096;Chaveyriat;200070555;CC de la Veyle
01098;Chazey-Bons;200040350;CC Bugey Sud
01099;Chazey-sur-Ain;240100883;CC de la Plaine de l'Ain
01100;Cheignieu-la-Balme;200040350;CC Bugey Sud
01101;Chevillard;200042935;CA Haut - Bugey Agglomération
01102;Chevroux;200071371;CC Bresse et Saône
01103;Chevry;240100750;CA du Pays de Gex
01104;Chézery-Forens;240100750;CA du Pays de Gex
01105;Civrieux;200042497;CC Dombes Saône Vallée
01106;Cize;200071751;CA du Bassin de Bourg-en-Bresse
01107;Cleyzieu;240100883;CC de la Plaine de l'Ain
01108;Coligny;200071751;CA du Bassin de Bourg-en-Bresse
01109;Collonges;240100750;CA du Pays de Gex
01110;Colomieu;200040350;CC Bugey Sud
01111;Conand;240100883;CC de la Plaine de l'Ain
01112;Condamine;200042935;CA Haut - Bugey Agglomération
01113;Condeissiat;200069193;CC de la Dombes
01114;Confort;240100891;CC du Pays Bellegardien (CCPB)
01115;Confrançon;200071751;CA du Bassin de Bourg-en-Bresse
01116;Contrevoz;200040350;CC Bugey Sud
01117;Conzieu;200040350;CC Bugey Sud
01118;Corbonod;200070852;CC Usses et Rhône
01121;Corlier;200042935;CA Haut - Bugey Agglomération
01123;Cormoranche-sur-Saône;200070555;CC de la Veyle
01124;Cormoz;200071751;CA du Bassin de Bourg-en-Bresse
01125;Corveissiat;200071751;CA du Bassin de Bourg-en-Bresse
01127;Courmangoux;200071751;CA du Bassin de Bourg-en-Bresse
01128;Courtes;200071751;CA du Bassin de Bourg-en-Bresse
01129;Crans;200069193;CC de la Dombes
01130;Bresse Vallons;200071751;CA du Bassin de Bourg-en-Bresse
01133;Cressin-Rochefort;200040350;CC Bugey Sud
01134;Crottet;200070555;CC de la Veyle
01135;Crozet;240100750;CA du Pays de Gex
01136;Cruzilles-lès-Mépillat;200070555;CC de la Veyle
01138;Culoz-Béon;200040350;CC Bugey Sud
01139;Curciat-Dongalon;200071751;CA du Bassin de Bourg-en-Bresse
01140;Curtafond;200071751;CA du Bassin de Bourg-en-Bresse
01141;Cuzieu;200040350;CC Bugey Sud
01142;Dagneux;240100610;CC de la Côtière à Montluel
01143;Divonne-les-Bains;240100750;CA du Pays de Gex
01145;Dompierre-sur-Veyle;200071751;CA du Bassin de Bourg-en-Bresse
01146;Dompierre-sur-Chalaronne;200069193;CC de la Dombes
01147;Domsure;200071751;CA du Bassin de Bourg-en-Bresse
01148;Dortan;200042935;CA Haut - Bugey Agglomération
01149;Douvres;240100883;CC de la Plaine de l'Ain
01150;Drom;200071751;CA du Bassin de Bourg-en-Bresse
01151;Druillat;200071751;CA du Bassin de Bourg-en-Bresse
01152;Échallon;200042935;CA Haut - Bugey Agglomération
01153;Échenevex;240100750;CA du Pays de Gex
01155;Évosges;200042935;CA Haut - Bugey Agglomération
01156;Faramans;240100883;CC de la Plaine de l'Ain
01157;Fareins;200042497;CC Dombes Saône Vallée
01158;Farges;240100750;CA du Pays de Gex
01159;Feillens;200071371;CC Bresse et Saône
01160;Ferney-Voltaire;240100750;CA du Pays de Gex
01162;Flaxieu;200040350;CC Bugey Sud
01163;Foissiat;200071751;CA du Bassin de Bourg-en-Bresse
01165;Francheleins;200070118;CC Val de Saône Centre
01166;Frans;200042497;CC Dombes Saône Vallée
01167;Garnerans;200070118;CC Val de Saône Centre
01169;Genouilleux;200070118;CC Val de Saône Centre
01170;Béard-Géovreissiat;200042935;CA Haut - Bugey Agglomération
01171;Géovreisset;200042935;CA Haut - Bugey Agglomération
01173;Gex;240100750;CA du Pays de Gex
01174;Giron;240100891;CC du Pays Bellegardien (CCPB)
01175;Gorrevod;200071371;CC Bresse et Saône
01177;Grand-Corent;200071751;CA du Bassin de Bourg-en-Bresse
01179;Grièges;200070555;CC de la Veyle
01180;Grilly;240100750;CA du Pays de Gex
01181;Groissiat;200042935;CA Haut - Bugey Agglomération
01183;Guéreins;200070118;CC Val de Saône Centre
01184;Hautecourt-Romanèche;200071751;CA du Bassin de Bourg-en-Bresse
01185;Plateau d'Hauteville;200042935;CA Haut - Bugey Agglomération
01187;Haut Valromey;200040350;CC Bugey Sud
01188;Illiat;200070118;CC Val de Saône Centre
01189;Injoux-Génissiat;240100891;CC du Pays Bellegardien (CCPB)
01190;Innimond;240100883;CC de la Plaine de l'Ain
01191;Izenave;200042935;CA Haut - Bugey Agglomération
01192;Izernore;200042935;CA Haut - Bugey Agglomération
01193;Izieu;200040350;CC Bugey Sud
01194;Jassans-Riottier;200040590;CA Villefranche Beaujolais Saône
01195;Jasseron;200071751;CA du Bassin de Bourg-en-Bresse
01196;Jayat;200071751;CA du Bassin de Bourg-en-Bresse
01197;Journans;200071751;CA du Bassin de Bourg-en-Bresse
01198;Joyeux;240100883;CC de la Plaine de l'Ain
01199;Jujurieux;200029999;CC Rives de l'Ain - Pays du Cerdon
01200;Labalme;200029999;CC Rives de l'Ain - Pays du Cerdon
01202;Lagnieu;240100883;CC de la Plaine de l'Ain
01203;Laiz;200070555;CC de la Veyle
01204;Le Poizat-Lalleyriat;200042935;CA Haut - Bugey Agglomération
01206;Lantenay;200042935;CA Haut - Bugey Agglomération
01207;Lapeyrouse;200069193;CC de la Dombes
01208;Lavours;200040350;CC Bugey Sud
01209;Léaz;240100750;CA du Pays de Gex
01210;Lélex;240100750;CA du Pays de Gex
01211;Lent;200071751;CA du Bassin de Bourg-en-Bresse
01212;Lescheroux;200071751;CA du Bassin de Bourg-en-Bresse
01213;Leyment;240100883;CC de la Plaine de l'Ain
01214;Leyssard;200042935;CA Haut - Bugey Agglomération
01215;Surjoux-Lhopital;240100891;CC du Pays Bellegardien (CCPB)
01216;Lhuis;240100883;CC de la Plaine de l'Ain
01219;Lompnas;240100883;CC de la Plaine de l'Ain
01224;Loyettes;240100883;CC de la Plaine de l'Ain
01225;Lurcy;200070118;CC Val de Saône Centre
01227;Magnieu;200040350;CC Bugey Sud
01228;Maillat;200042935;CA Haut - Bugey Agglomération
01229;Malafretaz;200071751;CA du Bassin de Bourg-en-Bresse
01230;Mantenay-Montlin;200071751;CA du Bassin de Bourg-en-Bresse
01231;Manziat;200071371;CC Bresse et Saône
01232;Marboz;200071751;CA du Bassin de Bourg-en-Bresse
01233;Marchamp;240100883;CC de la Plaine de l'Ain
01234;Marignieu;200040350;CC Bugey Sud
01235;Marlieux;200069193;CC de la Dombes
01236;Marsonnas;200071751;CA du Bassin de Bourg-en-Bresse
01237;Martignat;200042935;CA Haut - Bugey Agglomération
01238;Massieux;200042497;CC Dombes Saône Vallée
01239;Massignieu-de-Rives;200040350;CC Bugey Sud
01240;Matafelon-Granges;200042935;CA Haut - Bugey Agglomération
01241;Meillonnas;200071751;CA du Bassin de Bourg-en-Bresse
01242;Mérignat;200029999;CC Rives de l'Ain - Pays du Cerdon
01243;Messimy-sur-Saône;200070118;CC Val de Saône Centre
01244;Meximieux;240100883;CC de la Plaine de l'Ain
01245;Bohas-Meyriat-Rignat;200071751;CA du Bassin de Bourg-en-Bresse
01246;Mézériat;200070555;CC de la Veyle
01247;Mijoux;240100750;CA du Pays de Gex
01248;Mionnay;200069193;CC de la Dombes
01249;Miribel;240100800;CC de Miribel et du Plateau
01250;Misérieux;200042497;CC Dombes Saône Vallée
01252;Mogneneins;200070118;CC Val de Saône Centre
01254;Montagnat;200071751;CA du Bassin de Bourg-en-Bresse
01255;Montagnieu;240100883;CC de la Plaine de l'Ain
01257;Montanges;240100891;CC du Pays Bellegardien (CCPB)
01258;Montceaux;200070118;CC Val de Saône Centre
01259;Montcet;200071751;CA du Bassin de Bourg-en-Bresse
01260;Le Montellier;240100883;CC de la Plaine de l'Ain
01261;Monthieux;200069193;CC de la Dombes
01262;Montluel;240100610;CC de la Côtière à Montluel
01263;Montmerle-sur-Saône;200070118;CC Val de Saône Centre
01264;Montracol;200071751;CA du Bassin de Bourg-en-Bresse
01265;Montréal-la-Cluse;200042935;CA Haut - Bugey Agglomération
01266;Montrevel-en-Bresse;200071751;CA du Bassin de Bourg-en-Bresse
01267;Nurieux-Volognat;200042935;CA Haut - Bugey Agglomération
01268;Murs-et-Gélignieux;200040350;CC Bugey Sud
01269;Nantua;200042935;CA Haut - Bugey Agglomération
01272;Neuville-les-Dames;200069193;CC de la Dombes
01273;Neuville-sur-Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01274;Les Neyrolles;200042935;CA Haut - Bugey Agglomération
01275;Neyron;240100800;CC de Miribel et du Plateau
01276;Niévroz;240100610;CC de la Côtière à Montluel
01277;Nivollet-Montgriffon;240100883;CC de la Plaine de l'Ain
01279;Oncieu;240100883;CC de la Plaine de l'Ain
01280;Ordonnaz;240100883;CC de la Plaine de l'Ain
01281;Ornex;240100750;CA du Pays de Gex
01282;Outriaz;200042935;CA Haut - Bugey Agglomération
01283;Oyonnax;200042935;CA Haut - Bugey Agglomération
01284;Ozan;200071371;CC Bresse et Saône
01285;Parcieux;200042497;CC Dombes Saône Vallée
01286;Parves et Nattages;200040350;CC Bugey Sud
01288;Péron;240100750;CA du Pays de Gex
01289;Péronnas;200071751;CA du Bassin de Bourg-en-Bresse
01290;Pérouges;240100883;CC de la Plaine de l'Ain
01291;Perrex;200070555;CC de la Veyle
01293;Peyriat;200042935;CA Haut - Bugey Agglomération
01294;Peyrieu;200040350;CC Bugey Sud
01295;Peyzieux-sur-Saône;200070118;CC Val de Saône Centre
01296;Pirajoux;200071751;CA du Bassin de Bourg-en-Bresse
01297;Pizay;240100610;CC de la Côtière à Montluel
01298;Plagne;240100891;CC du Pays Bellegardien (CCPB)
01299;Le Plantay;200069193;CC de la Dombes
01301;Polliat;200071751;CA du Bassin de Bourg-en-Bresse
01302;Pollieu;200040350;CC Bugey Sud
01303;Poncin;200029999;CC Rives de l'Ain - Pays du Cerdon
01304;Pont-d'Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01305;Pont-de-Vaux;200071371;CC Bresse et Saône
01306;Pont-de-Veyle;200070555;CC de la Veyle
01307;Port;200042935;CA Haut - Bugey Agglomération
01308;Pougny;240100750;CA du Pays de Gex
01309;Pouillat;200071751;CA du Bassin de Bourg-en-Bresse
01310;Prémeyzel;200040350;CC Bugey Sud
01311;Prémillieu;200042935;CA Haut - Bugey Agglomération
01313;Prévessin-Moëns;240100750;CA du Pays de Gex
01314;Priay;200029999;CC Rives de l'Ain - Pays du Cerdon
01317;Ramasse;200071751;CA du Bassin de Bourg-en-Bresse
01318;Rancé;200042497;CC Dombes Saône Vallée
01319;Relevant;200069193;CC de la Dombes
01320;Replonges;200071371;CC Bresse et Saône
01321;Revonnas;200071751;CA du Bassin de Bourg-en-Bresse
01322;Reyrieux;200042497;CC Dombes Saône Vallée
01323;Reyssouze;200071371;CC Bresse et Saône
01325;Rignieux-le-Franc;240100883;CC de la Plaine de l'Ain
01328;Romans;200069193;CC de la Dombes
01329;Rossillon;200040350;CC Bugey Sud
01330;Ruffieu;200040350;CC Bugey Sud
01331;Saint-Alban;200029999;CC Rives de l'Ain - Pays du Cerdon
01332;Saint-André-de-Bâgé;200071371;CC Bresse et Saône
01333;Saint-André-de-Corcy;200069193;CC de la Dombes
01334;Saint-André-d'Huiriat;200070555;CC de la Veyle
01335;Saint-André-le-Bouchoux;200069193;CC de la Dombes
01336;Saint-André-sur-Vieux-Jonc;200071751;CA du Bassin de Bourg-en-Bresse
01337;Saint-Bénigne;200071371;CC Bresse et Saône
01338;Groslée-Saint-Benoit;200040350;CC Bugey Sud
01339;Saint-Bernard;200042497;CC Dombes Saône Vallée
01342;Sainte-Croix;240100610;CC de la Côtière à Montluel
01343;Saint-Cyr-sur-Menthon;200070555;CC de la Veyle
01344;Saint-Denis-lès-Bourg;200071751;CA du Bassin de Bourg-en-Bresse
01345;Saint-Denis-en-Bugey;240100883;CC de la Plaine de l'Ain
01346;Saint-Didier-d'Aussiat;200071751;CA du Bassin de Bourg-en-Bresse
01347;Saint-Didier-de-Formans;200042497;CC Dombes Saône Vallée
01348;Saint-Didier-sur-Chalaronne;200070118;CC Val de Saône Centre
01349;Saint-Éloi;240100883;CC de la Plaine de l'Ain
01350;Saint-Étienne-du-Bois;200071751;CA du Bassin de Bourg-en-Bresse
01351;Saint-Étienne-sur-Chalaronne;200070118;CC Val de Saône Centre
01352;Saint-Étienne-sur-Reyssouze;200071371;CC Bresse et Saône
01353;Sainte-Euphémie;200042497;CC Dombes Saône Vallée
01354;Saint-Genis-Pouilly;240100750;CA du Pays de Gex
01355;Saint-Genis-sur-Menthon;200070555;CC de la Veyle
01356;Saint-Georges-sur-Renon;200069193;CC de la Dombes
01357;Saint-Germain-de-Joux;240100891;CC du Pays Bellegardien (CCPB)
01358;Saint-Germain-les-Paroisses;200040350;CC Bugey Sud
01359;Saint-Germain-sur-Renon;200069193;CC de la Dombes
01360;Saint-Jean-de-Gonville;240100750;CA du Pays de Gex
01361;Saint-Jean-de-Niost;240100883;CC de la Plaine de l'Ain
01362;Saint-Jean-de-Thurigneux;200042497;CC Dombes Saône Vallée
01363;Saint-Jean-le-Vieux;200029999;CC Rives de l'Ain - Pays du Cerdon
01364;Saint-Jean-sur-Reyssouze;200071751;CA du Bassin de Bourg-en-Bresse
01365;Saint-Jean-sur-Veyle;200070555;CC de la Veyle
01366;Sainte-Julie;240100883;CC de la Plaine de l'Ain
01367;Saint-Julien-sur-Reyssouze;200071751;CA du Bassin de Bourg-en-Bresse
01368;Saint-Julien-sur-Veyle;200070555;CC de la Veyle
01369;Saint-Just;200071751;CA du Bassin de Bourg-en-Bresse
01370;Saint-Laurent-sur-Saône;200070308;CA Mâconnais Beaujolais Agglomération
01371;Saint-Marcel;200069193;CC de la Dombes
01372;Saint-Martin-de-Bavel;200040350;CC Bugey Sud
01373;Saint-Martin-du-Frêne;200042935;CA Haut - Bugey Agglomération
01374;Saint-Martin-du-Mont;200071751;CA du Bassin de Bourg-en-Bresse
01375;Saint-Martin-le-Châtel;200071751;CA du Bassin de Bourg-en-Bresse
01376;Saint-Maurice-de-Beynost;240100800;CC de Miribel et du Plateau
01378;Saint-Maurice-de-Gourdans;240100883;CC de la Plaine de l'Ain
01379;Saint-Maurice-de-Rémens;240100883;CC de la Plaine de l'Ain
01380;Saint-Nizier-le-Bouchoux;200071751;CA du Bassin de Bourg-en-Bresse
01381;Saint-Nizier-le-Désert;200069193;CC de la Dombes
01382;Sainte-Olive;200069193;CC de la Dombes
01383;Saint-Paul-de-Varax;200069193;CC de la Dombes
01384;Saint-Rambert-en-Bugey;240100883;CC de la Plaine de l'Ain
01385;Saint-Rémy;200071751;CA du Bassin de Bourg-en-Bresse
01386;Saint-Sorlin-en-Bugey;240100883;CC de la Plaine de l'Ain
01387;Saint-Sulpice;200071751;CA du Bassin de Bourg-en-Bresse
01388;Saint-Trivier-de-Courtes;200071751;CA du Bassin de Bourg-en-Bresse
01389;Saint-Trivier-sur-Moignans;200069193;CC de la Dombes
01390;Saint-Vulbas;240100883;CC de la Plaine de l'Ain
01391;Salavre;200071751;CA du Bassin de Bourg-en-Bresse
01392;Samognat;200042935;CA Haut - Bugey Agglomération
01393;Sandrans;200069193;CC de la Dombes
01396;Sault-Brénaz;240100883;CC de la Plaine de l'Ain
01397;Sauverny;240100750;CA du Pays de Gex
01398;Savigneux;200042497;CC Dombes Saône Vallée
01399;Ségny;240100750;CA du Pays de Gex
01400;Seillonnaz;240100883;CC de la Plaine de l'Ain
01401;Sergy;240100750;CA du Pays de Gex
01402;Sermoyer;200071371;CC Bresse et Saône
01403;Serrières-de-Briord;240100883;CC de la Plaine de l'Ain
01404;Serrières-sur-Ain;200029999;CC Rives de l'Ain - Pays du Cerdon
01405;Servas;200071751;CA du Bassin de Bourg-en-Bresse
01406;Servignat;200071751;CA du Bassin de Bourg-en-Bresse
01407;Seyssel;200070852;CC Usses et Rhône
01408;Simandre-sur-Suran;200071751;CA du Bassin de Bourg-en-Bresse
01410;Sonthonnax-la-Montagne;200042935;CA Haut - Bugey Agglomération
01411;Souclin;240100883;CC de la Plaine de l'Ain
01412;Sulignat;200069193;CC de la Dombes
01415;Talissieu;200040350;CC Bugey Sud
01416;Tenay;240100883;CC de la Plaine de l'Ain
01418;Thil;240100800;CC de Miribel et du Plateau
01419;Thoiry;240100750;CA du Pays de Gex
01420;Thoissey;200070118;CC Val de Saône Centre
01421;Torcieu;240100883;CC de la Plaine de l'Ain
01422;Tossiat;200071751;CA du Bassin de Bourg-en-Bresse
01423;Toussieux;200042497;CC Dombes Saône Vallée
01424;Tramoyes;240100800;CC de Miribel et du Plateau
01425;La Tranclière;200071751;CA du Bassin de Bourg-en-Bresse
01426;Val-Revermont;200071751;CA du Bassin de Bourg-en-Bresse
01427;Trévoux;200042497;CC Dombes Saône Vallée
01428;Valeins;200069193;CC de la Dombes
01429;Vandeins;200071751;CA du Bassin de Bourg-en-Bresse
01430;Varambon;200029999;CC Rives de l'Ain - Pays du Cerdon
01431;Vaux-en-Bugey;240100883;CC de la Plaine de l'Ain
01432;Verjon;200071751;CA du Bassin de Bourg-en-Bresse
01433;Vernoux;200071751;CA du Bassin de Bourg-en-Bresse
01434;Versailleux;200069193;CC de la Dombes
01435;Versonnex;240100750;CA du Pays de Gex
01436;Vesancy;240100750;CA du Pays de Gex
01437;Vescours;200071751;CA du Bassin de Bourg-en-Bresse
01439;Vésines;200071371;CC Bresse et Saône
01441;Vieu-d'Izenave;200042935;CA Haut - Bugey Agglomération
01443;Villars-les-Dombes;200069193;CC de la Dombes
01444;Villebois;240100883;CC de la Plaine de l'Ain
01445;Villemotier;200071751;CA du Bassin de Bourg-en-Bresse
01446;Villeneuve;200042497;CC Dombes Saône Vallée
01447;Villereversure;200071751;CA du Bassin de Bourg-en-Bresse
01448;Villes;240100891;CC du Pays Bellegardien (CCPB)
01449;Villette-sur-Ain;200069193;CC de la Dombes
01450;Villieu-Loyes-Mollon;240100883;CC de la Plaine de l'Ain
01451;Viriat;200071751;CA du Bassin de Bourg-en-Bresse
01452;Virieu-le-Grand;200040350;CC Bugey Sud
01453;Arvière-en-Valromey;200040350;CC Bugey Sud
01454;Virignin;200040350;CC Bugey Sud
01456;Vongnes;200040350;CC Bugey Sud
01457;Vonnas;200070555;CC de la Veyle
02001;Abbécourt;200071785;CA Chauny-Tergnier-La Fère
02002;Achery;200071785;CA Chauny-Tergnier-La Fère
02003;Acy;240200477;CA GrandSoissons Agglomération
02004;Agnicourt-et-Séchelles;240200469;CC du Pays de la Serre
02005;Aguilcourt;240200576;CC de la Champagne Picarde
02006;Aisonville-et-Bernoville;200071983;CC Thiérache Sambre et Oise
02007;Aizelles;240200592;CC du Chemin des Dames
02008;Aizy-Jouy;240200501;CC du Val de l'Aisne
02009;Alaincourt;200040426;CC du Val de l'Oise
02010;Allemant;240200501;CC du Val de l'Aisne
02011;Ambleny;200071991;CC Retz-en-Valois
02012;Ambrief;240200519;CC du Canton d'Oulchy-le-Château
02013;Amifontaine;240200576;CC de la Champagne Picarde
02014;Amigny-Rouy;200071785;CA Chauny-Tergnier-La Fère
02015;Ancienville;200071991;CC Retz-en-Valois
02016;Andelain;200071785;CA Chauny-Tergnier-La Fère
02017;Anguilcourt-le-Sart;200071785;CA Chauny-Tergnier-La Fère
02018;Anizy-le-Grand;200071769;CC Picardie des Châteaux
02019;Annois;200071892;CA du Saint-Quentinois
02020;Any-Martin-Rieux;240200600;CC des Trois Rivières
02021;Archon;240200634;CC des Portes de la Thiérache
02022;Arcy-Sainte-Restitue;240200519;CC du Canton d'Oulchy-le-Château
02023;Armentières-sur-Ourcq;200072031;CA de la Région de Château-Thierry
02024;Arrancy;200043495;CA du Pays de Laon
02025;Artemps;200071892;CA du Saint-Quentinois
02027;Assis-sur-Serre;240200469;CC du Pays de la Serre
02028;Athies-sous-Laon;200043495;CA du Pays de Laon
02029;Attilly;240200493;CC du Pays du Vermandois
02030;Aubencheul-aux-Bois;240200493;CC du Pays du Vermandois
02031;Aubenton;240200600;CC des Trois Rivières
02032;Aubigny-aux-Kaisnes;200071892;CA du Saint-Quentinois
02033;Aubigny-en-Laonnois;240200592;CC du Chemin des Dames
02034;Audignicourt;200071991;CC Retz-en-Valois
02035;Audigny;200071983;CC Thiérache Sambre et Oise
02036;Augy;240200501;CC du Val de l'Aisne
02037;Aulnois-sous-Laon;200043495;CA du Pays de Laon
02038;Les Autels;240200634;CC des Portes de la Thiérache
02039;Autremencourt;240200469;CC du Pays de la Serre
02040;Autreppes;240200444;CC de la Thiérache du Centre
02041;Autreville;200071785;CA Chauny-Tergnier-La Fère
02042;Azy-sur-Marne;200072031;CA de la Région de Château-Thierry
02043;Bagneux;240200477;CA GrandSoissons Agglomération
02044;Bancigny;240200444;CC de la Thiérache du Centre
02046;Barenton-Bugny;240200469;CC du Pays de la Serre
02047;Barenton-Cel;240200469;CC du Pays de la Serre
02048;Barenton-sur-Serre;240200469;CC du Pays de la Serre
02049;Barisis-aux-Bois;200071769;CC Picardie des Châteaux
02050;Barzy-en-Thiérache;240200444;CC de la Thiérache du Centre
02051;Barzy-sur-Marne;200072031;CA de la Région de Château-Thierry
02052;Bassoles-Aulers;200071769;CC Picardie des Châteaux
02053;Vallées en Champagne;200072031;CA de la Région de Château-Thierry
02054;Bazoches-et-Saint-Thibaut;240200501;CC du Val de l'Aisne
02055;Beaumé;240200600;CC des Trois Rivières
02056;Beaumont-en-Beine;200071785;CA Chauny-Tergnier-La Fère
02057;Beaurevoir;240200493;CC du Pays du Vermandois
02058;Beaurieux;240200592;CC du Chemin des Dames
02059;Beautor;200071785;CA Chauny-Tergnier-La Fère
02060;Beauvois-en-Vermandois;240200493;CC du Pays du Vermandois
02061;Becquigny;240200493;CC du Pays du Vermandois
02062;Belleau;200072031;CA de la Région de Château-Thierry
02063;Bellenglise;240200493;CC du Pays du Vermandois
02064;Belleu;240200477;CA GrandSoissons Agglomération
02065;Bellicourt;240200493;CC du Pays du Vermandois
02066;Benay;200040426;CC du Val de l'Oise
02067;Bergues-sur-Sambre;240200444;CC de la Thiérache du Centre
02068;Berlancourt;240200444;CC de la Thiérache du Centre
02069;Berlise;240200634;CC des Portes de la Thiérache
02070;Bernot;200071983;CC Thiérache Sambre et Oise
02071;Berny-Rivière;200071991;CC Retz-en-Valois
02072;Berrieux;240200592;CC du Chemin des Dames
02073;Berry-au-Bac;240200576;CC de la Champagne Picarde
02074;Bertaucourt-Epourdon;200071785;CA Chauny-Tergnier-La Fère
02075;Berthenicourt;200040426;CC du Val de l'Oise
02076;Bertricourt;240200576;CC de la Champagne Picarde
02078;Besmé;200071769;CC Picardie des Châteaux
02079;Besmont;240200600;CC des Trois Rivières
02080;Besny-et-Loizy;200043495;CA du Pays de Laon
02081;Béthancourt-en-Vaux;200071785;CA Chauny-Tergnier-La Fère
02082;Beugneux;240200519;CC du Canton d'Oulchy-le-Château
02083;Beuvardes;200072031;CA de la Région de Château-Thierry
