CODGEO;LIBGEO;EPCI;LIBEPCI
14089;Bougy;200066728;CC Vallées de l'Orne et de l'Odon
14090;Boulon;200066710;CC Cingal-Suisse Normande
14091;Bourgeauville;241400878;CC Terre d'Auge
14092;Bourguébus;200065597;CU Caen la Mer
14093;Branville;241400878;CC Terre d'Auge
14096;Brémoy;200069524;CC Pré-Bocage Intercom
14097;Bretteville-le-Rabet;200066710;CC Cingal-Suisse Normande
14098;Thue et Mue;200065597;CU Caen la Mer
14100;Bretteville-sur-Laize;200066710;CC Cingal-Suisse Normande
14101;Bretteville-sur-Odon;200065597;CU Caen la Mer
14102;Le Breuil-en-Auge;241400878;CC Terre d'Auge
14103;Le Breuil-en-Bessin;200066801;CC Isigny-Omaha Intercom
14104;Le Brévedent;241400878;CC Terre d'Auge
14106;Bréville-les-Monts;200065563;CC Normandie-Cabourg-Pays d'Auge
14107;Bricqueville;200066801;CC Isigny-Omaha Intercom
14110;Brucourt;200065563;CC Normandie-Cabourg-Pays d'Auge
14111;Bucéels;200069516;CC Seulles Terre et Mer
14116;Le Bû-sur-Rouvres;200066710;CC Cingal-Suisse Normande
14117;Cabourg;200065563;CC Normandie-Cabourg-Pays d'Auge
14118;Caen;200065597;CU Caen la Mer
14119;Cagny;200065589;CC Val ès Dunes
14120;Cahagnes;200069524;CC Pré-Bocage Intercom
14121;Cahagnolles;200066801;CC Isigny-Omaha Intercom
14122;La Caine;200066728;CC Vallées de l'Orne et de l'Odon
14123;Cairon;200065597;CU Caen la Mer
14124;La Cambe;200066801;CC Isigny-Omaha Intercom
14125;Cambes-en-Plaine;200065597;CU Caen la Mer
14126;Cambremer;200069532;CA Lisieux Normandie
14127;Campagnolles;200068799;CC Intercom de la Vire au Noireau
14130;Campigny;241400555;CC de Bayeux Intercom
14131;Canapville;241400878;CC Terre d'Auge
14132;Canchy;200066801;CC Isigny-Omaha Intercom
14134;Canteloup;200065589;CC Val ès Dunes
14135;Carcagny;200069516;CC Seulles Terre et Mer
14136;Cardonville;200066801;CC Isigny-Omaha Intercom
14137;Carpiquet;200065597;CU Caen la Mer
14138;Cartigny-l'Épinay;200066801;CC Isigny-Omaha Intercom
14140;Castillon;200066801;CC Isigny-Omaha Intercom
14141;Castillon-en-Auge;200069532;CA Lisieux Normandie
14143;Caumont-sur-Aure;200069524;CC Pré-Bocage Intercom
14145;Cauvicourt;200066710;CC Cingal-Suisse Normande
14146;Cauville;200066710;CC Cingal-Suisse Normande
14147;Cernay;200069532;CA Lisieux Normandie
14149;Cesny-aux-Vignes;200065589;CC Val ès Dunes
14150;Cesny-les-Sources;200066710;CC Cingal-Suisse Normande
14159;Chouain;241400555;CC de Bayeux Intercom
14160;Cintheaux;200066710;CC Cingal-Suisse Normande
14161;Clarbec;241400878;CC Terre d'Auge
14162;Clécy;200066710;CC Cingal-Suisse Normande
14163;Cléville;200065589;CC Val ès Dunes
14165;Colleville-sur-Mer;200066801;CC Isigny-Omaha Intercom
14166;Colleville-Montgomery;200065597;CU Caen la Mer
14167;Colombelles;200065597;CU Caen la Mer
14168;Colombières;200066801;CC Isigny-Omaha Intercom
14169;Colombiers-sur-Seulles;200069516;CC Seulles Terre et Mer
14171;Combray;200066710;CC Cingal-Suisse Normande
14172;Commes;241400555;CC de Bayeux Intercom
14173;Condé-sur-Ifs;200065589;CC Val ès Dunes
14174;Condé-en-Normandie;200068799;CC Intercom de la Vire au Noireau
14175;Condé-sur-Seulles;241400555;CC de Bayeux Intercom
14177;Coquainvilliers;200069532;CA Lisieux Normandie
14179;Cordebugle;200069532;CA Lisieux Normandie
14180;Cordey;241400514;CC du Pays de Falaise
14181;Cormelles-le-Royal;200065597;CU Caen la Mer
14182;Cormolain;200066801;CC Isigny-Omaha Intercom
14183;Cossesseville;200066710;CC Cingal-Suisse Normande
14184;Cottun;241400555;CC de Bayeux Intercom
14190;Courcy;241400514;CC du Pays de Falaise
14191;Courseulles-sur-Mer;241400860;CC Cœur de Nacre
14193;Courtonne-la-Meurdrac;200069532;CA Lisieux Normandie
14194;Courtonne-les-Deux-Églises;200069532;CA Lisieux Normandie
14195;Courvaudon;200069524;CC Pré-Bocage Intercom
14196;Crépon;200069516;CC Seulles Terre et Mer
14197;Cresserons;241400860;CC Cœur de Nacre
14198;Cresseveuille;200065563;CC Normandie-Cabourg-Pays d'Auge
14200;Creully sur Seulles;200069516;CC Seulles Terre et Mer
14202;Cricquebœuf;200066827;CC du Pays de Honfleur-Beuzeville
14203;Cricqueville-en-Auge;200065563;CC Normandie-Cabourg-Pays d'Auge
14204;Cricqueville-en-Bessin;200066801;CC Isigny-Omaha Intercom
14205;Cristot;200069516;CC Seulles Terre et Mer
14206;Crocy;241400514;CC du Pays de Falaise
14207;Croisilles;200066710;CC Cingal-Suisse Normande
14209;Crouay;200066801;CC Isigny-Omaha Intercom
14211;Culey-le-Patry;200066710;CC Cingal-Suisse Normande
14214;Cussy;241400555;CC de Bayeux Intercom
14215;Cuverville;200065597;CU Caen la Mer
14216;Damblainville;241400514;CC du Pays de Falaise
14218;Danestal;241400878;CC Terre d'Auge
14220;Deauville;241400415;CC Cœur Côte Fleurie
14221;Démouville;200065597;CU Caen la Mer
14223;Le Détroit;241400514;CC du Pays de Falaise
14224;Deux-Jumeaux;200066801;CC Isigny-Omaha Intercom
14225;Dives-sur-Mer;200065563;CC Normandie-Cabourg-Pays d'Auge
14226;Donnay;200066710;CC Cingal-Suisse Normande
14227;Douville-en-Auge;200065563;CC Normandie-Cabourg-Pays d'Auge
14228;Douvres-la-Délivrande;241400860;CC Cœur de Nacre
14229;Dozulé;200065563;CC Normandie-Cabourg-Pays d'Auge
14230;Drubec;241400878;CC Terre d'Auge
14231;Beaufour-Druval;200065563;CC Normandie-Cabourg-Pays d'Auge
14232;Ducy-Sainte-Marguerite;200069516;CC Seulles Terre et Mer
14236;Ellon;241400555;CC de Bayeux Intercom
14237;Émiéville;200065589;CC Val ès Dunes
14238;Englesqueville-en-Auge;241400878;CC Terre d'Auge
14239;Englesqueville-la-Percée;200066801;CC Isigny-Omaha Intercom
14240;Épaney;241400514;CC du Pays de Falaise
14241;Épinay-sur-Odon;200069524;CC Pré-Bocage Intercom
14242;Épron;200065597;CU Caen la Mer
14243;Équemauville;200066827;CC du Pays de Honfleur-Beuzeville
14244;Eraines;241400514;CC du Pays de Falaise
14245;Ernes;241400514;CC du Pays de Falaise
14246;Escoville;200065563;CC Normandie-Cabourg-Pays d'Auge
14248;Espins;200066710;CC Cingal-Suisse Normande
14249;Esquay-Notre-Dame;200066728;CC Vallées de l'Orne et de l'Odon
14250;Esquay-sur-Seulles;241400555;CC de Bayeux Intercom
14251;Esson;200066710;CC Cingal-Suisse Normande
14252;Estrées-la-Campagne;200066710;CC Cingal-Suisse Normande
14254;Éterville;200065597;CU Caen la Mer
14256;Étréham;200066801;CC Isigny-Omaha Intercom
14257;Évrecy;200066728;CC Vallées de l'Orne et de l'Odon
14258;Falaise;241400514;CC du Pays de Falaise
14260;Fauguernon;200069532;CA Lisieux Normandie
14261;Le Faulq;241400878;CC Terre d'Auge
14266;Feuguerolles-Bully;200066728;CC Vallées de l'Orne et de l'Odon
14269;Fierville-les-Parcs;241400878;CC Terre d'Auge
14270;Firfol;200069532;CA Lisieux Normandie
14271;Fleury-sur-Orne;200065597;CU Caen la Mer
14272;La Folie;200066801;CC Isigny-Omaha Intercom
14273;La Folletière-Abenon;200069532;CA Lisieux Normandie
14274;Fontaine-Étoupefour;200066728;CC Vallées de l'Orne et de l'Odon
14275;Fontaine-Henry;200069516;CC Seulles Terre et Mer
14276;Fontaine-le-Pin;241400514;CC du Pays de Falaise
14277;Fontenay-le-Marmion;200066728;CC Vallées de l'Orne et de l'Odon
14278;Fontenay-le-Pesnel;200069516;CC Seulles Terre et Mer
14280;Formentin;241400878;CC Terre d'Auge
14281;Formigny La Bataille;200066801;CC Isigny-Omaha Intercom
14282;Foulognes;200066801;CC Isigny-Omaha Intercom
14283;Fourches;241400514;CC du Pays de Falaise
14284;Fourneaux-le-Val;241400514;CC du Pays de Falaise
14285;Le Fournet;241400878;CC Terre d'Auge
14286;Fourneville;200066827;CC du Pays de Honfleur-Beuzeville
14287;Frénouville;200065589;CC Val ès Dunes
14288;Le Fresne-Camilly;200065597;CU Caen la Mer
14289;Fresné-la-Mère;241400514;CC du Pays de Falaise
14290;Fresney-le-Puceux;200066710;CC Cingal-Suisse Normande
14291;Fresney-le-Vieux;200066710;CC Cingal-Suisse Normande
14293;Fumichon;200069532;CA Lisieux Normandie
14297;Gavrus;200066728;CC Vallées de l'Orne et de l'Odon
14298;Géfosse-Fontenay;200066801;CC Isigny-Omaha Intercom
14299;Genneville;200066827;CC du Pays de Honfleur-Beuzeville
14300;Gerrots;200065563;CC Normandie-Cabourg-Pays d'Auge
14301;Giberville;200065597;CU Caen la Mer
14302;Glanville;241400878;CC Terre d'Auge
14303;Glos;200069532;CA Lisieux Normandie
14304;Gonneville-sur-Honfleur;200066827;CC du Pays de Honfleur-Beuzeville
14305;Gonneville-sur-Mer;200065563;CC Normandie-Cabourg-Pays d'Auge
14306;Gonneville-en-Auge;200065563;CC Normandie-Cabourg-Pays d'Auge
14308;Goustranville;200065563;CC Normandie-Cabourg-Pays d'Auge
14309;Gouvix;200066710;CC Cingal-Suisse Normande
14310;Grainville-Langannerie;200066710;CC Cingal-Suisse Normande
14311;Grainville-sur-Odon;200066728;CC Vallées de l'Orne et de l'Odon
14312;Grandcamp-Maisy;200066801;CC Isigny-Omaha Intercom
14316;Grangues;200065563;CC Normandie-Cabourg-Pays d'Auge
14318;Graye-sur-Mer;200069516;CC Seulles Terre et Mer
14319;Grentheville;200065597;CU Caen la Mer
14320;Grimbosq;200066710;CC Cingal-Suisse Normande
