code;size
1; 1 or 2
2; 3 to 5 
3; 6 to 9 
11; 10 to 19 
12; 20 to 49 
21; 50 to 99 
22; 100 to 199 
31; 200 to 249 
32; 250 to 499 
41; 500 to 999 
42; 1 000 to 1 999 
51; 2 000 to 4 999 
52; 5 000 to 9 999 
53;10 000 and more
